update,split,loss,ppl,lr,tps,gnorm,scale,tokens_seen,utc
145,train,8.42819160578254,,2.92e-05,11953.155792271835,1.3652174472808838,1.0,5345280,2025-09-10T13:34:10.457491+00:00Z
146,train,8.400893292048005,,2.94e-05,11952.436640674103,1.423972725868225,1.0,5382144,2025-09-10T13:34:13.544462+00:00Z
147,train,8.389334512846256,,2.96e-05,11953.840375876149,1.283396601676941,1.0,5419008,2025-09-10T13:34:16.629375+00:00Z
148,train,8.389328199413345,,2.98e-05,11956.135778903244,1.0918686389923096,1.0,5455872,2025-09-10T13:34:19.711285+00:00Z
149,train,8.369647095608943,,3e-05,11956.100375845319,1.2257599830627441,1.0,5492736,2025-09-10T13:34:22.797110+00:00Z
150,train,8.351065483696669,,3.0200000000000002e-05,11957.497185450495,1.219775915145874,1.0,5529600,2025-09-10T13:34:25.880593+00:00Z
151,train,8.328801173276373,,3.04e-05,11958.335504339158,1.2950721979141235,1.0,5566464,2025-09-10T13:34:28.964437+00:00Z
152,train,8.289930753386022,,3.06e-05,11958.851259967034,1.4571672677993774,1.0,5603328,2025-09-10T13:34:32.047479+00:00Z
153,train,8.276033138462306,,3.08e-05,11959.283480259908,1.1879796981811523,1.0,5640192,2025-09-10T13:34:35.132563+00:00Z
154,train,8.254660894180894,,3.1e-05,11957.781234112636,1.2135955095291138,1.0,5677056,2025-09-10T13:34:38.218966+00:00Z
155,train,8.24095137987038,,3.12e-05,11957.97397294693,1.193294882774353,1.0,5713920,2025-09-10T13:34:41.303568+00:00Z
156,train,8.231756437481945,,3.14e-05,11958.254886131592,1.2407159805297852,1.0,5750784,2025-09-10T13:34:44.387009+00:00Z
157,train,8.227197911138688,,3.16e-05,11958.05251504297,1.042031168937683,1.0,5787648,2025-09-10T13:34:47.471999+00:00Z
158,train,8.210577403720041,,3.18e-05,11959.7179213124,1.0926470756530762,1.0,5824512,2025-09-10T13:34:50.554643+00:00Z
159,train,8.209512050642806,,3.2e-05,11959.398278715013,1.0087940692901611,1.0,5861376,2025-09-10T13:34:53.638405+00:00Z
